id,name,team,season,position,age,batting_hand,bowling_hand,status,_age,_batting_hand,_bowling_hand,_name
783,Davy Jacobs,MI,2011,Wicketkeeper Batsman,28y 75d,Right,Right arm medium,1,Age: 28y 75d,Batting: Right hand bat,Bowling: Right arm medium,Davy Jacobs 
784,Dhawal Kulkarni,MI,2011,Bowler,22y 39d,Right,Right arm medium,1,Age: 22y 39d,Batting: Right hand bat,Bowling: Right arm medium,Dhawal Kulkarni 
785,Dilhara Fernando,MI,2011,Bowler,31y 183d,Right,Right arm medium fast,1,Age: 31y 183d,Batting: Right hand bat,Bowling: Right arm medium fast,Dilhara Fernando 
786,Harbhajan Singh,MI,2011,Bowler,30y 199d,Right,Right arm offbreak,1,Age: 30y 199d,Batting: Right hand bat,Bowling: Right arm offbreak,Harbhajan Singh 
787,James Franklin,MI,2011,All-Rounder,30y 72d,Left,Left arm medium,1,Age: 30y 72d,Batting: Left hand bat,Bowling: Left arm medium,James Franklin 
788,Kieron Pollard,MI,2011,All-Rounder,23y 251d,Right,Right arm medium,1,Age: 23y 251d,Batting: Right hand bat,Bowling: Right arm medium,Kieron Pollard 
789,Lasith Malinga,MI,2011,Bowler,27y 143d,Right,Right arm fast,1,Age: 27y 143d,Batting: Right hand bat,Bowling: Right arm fast,Lasith Malinga 
790,Moises Henriques,MI,2011,All-Rounder,23y 351d,Right,Right arm medium fast,1,Age: 23y 351d,Batting: Right hand bat,Bowling: Right arm medium fast,Moises Henriques 
791,Munaf Patel,MI,2011,Bowler,27y 190d,Right,Right arm medium fast,1,Age: 27y 190d,Batting: Right hand bat,Bowling: Right arm medium fast,Munaf Patel 
792,Pawan Suyal,MI,2011,Bowler,21y 95d,Right,Left arm medium,1,Age: 21y 95d,Batting: Right hand bat,Bowling: Left arm medium,Pawan Suyal 
793,Rajagopal Sathish,MI,2011,All-Rounder,30y 4d,Right,Right arm medium,1,Age: 30y 4d,Batting: Right hand bat,Bowling: Right arm medium,Rajagopal Sathish 
794,Ray Price,MI,2011,Bowler,34y 297d,Right,Slow left arm orthodox,1,,,,
795,Rohit Sharma,MI,2011,Batsman,23y 263d,Right,Right arm offbreak,1,Age: 23y 263d,Batting: Right hand bat,Bowling: Right arm offbreak,Rohit Sharma 
796,Sachin Tendulkar (c),MI,2011,Batsman,37y 269d,Right,Right arm offbreak/ Legbreak googly,1,Age: 37y 269d,Batting: Right hand bat,Bowling: Right arm offbreak/ Legbreak googly,Sachin Tendulkar (c)
797,Santosh Yadav,MI,2011,Bowler,31y 93d,Left,Right arm offbreak,1,Age: 31y 93d,Batting: Left hand bat,Bowling: Right arm offbreak,Santosh Yadav 
798,Sarul Kanwar,MI,2011,Batsman,23y 71d,Right,Right arm offbreak,1,Age: 23y 71d,Batting: Right hand bat,Bowling: Right arm offbreak,Sarul Kanwar 
799,Suryakumar Yadav,MI,2011,Batsman,20y 126d,Right,Right arm medium/ Right arm offbreak,1,Age: 20y 126d,Batting: Right hand bat,Bowling: Right arm medium/ Right arm offbreak,Suryakumar Yadav 
800,Tirumalasetti Suman,MI,2011,Batsman,27y 34d,Right,Right arm offbreak,1,Age: 27y 34d,Batting: Right hand bat,Bowling: Right arm offbreak,Tirumalasetti Suman 
801,Yuzvendra Chahal,MI,2011,Bowler,20y 179d,Right,Legbreak googly,1,Age: 20y 179d,Batting: Right hand bat,Bowling: Legbreak googly,Yuzvendra Chahal 
802,AB de Villiers,RCB,2011,Wicketkeeper Batsman,27y 64d,Right,Right arm medium,1,Age: 27y 64d,Batting: Right hand bat,Bowling: Right arm medium,AB de Villiers 
803,Abhimanyu Mithun,RCB,2011,Bowler,21y 179d,Right,Right arm medium,1,Age: 21y 179d,Batting: Right hand bat,Bowling: Right arm medium,Abhimanyu Mithun 
804,Abrar Kazi,RCB,2011,Bowler,21y 205d,Left,Slow left arm orthodox,1,Age: 21y 205d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Abrar Kazi 
805,Arun Karthik,RCB,2011,Wicketkeeper Batsman,25y 66d,Right,Legbreak googly,1,Age: 25y 66d,Batting: Right hand bat,Bowling: Legbreak googly,Arun Karthik 
806,Asad Pathan,RCB,2011,Bowler,26y 309d,Right,Right arm medium,1,Age: 26y 309d,Batting: Right hand bat,Bowling: Right arm medium,Asad Pathan 
807,BN Bharath,RCB,2011,All-Rounder,25y 172d,Right,Right arm medium,1,Age: 25y 172d,Batting: Right hand bat,Bowling: Right arm medium,BN Bharath 
808,Charl Langeveldt,RCB,2011,Bowler,36y 126d,Right,Right arm medium fast,1,Age: 36y 126d,Batting: Right hand bat,Bowling: Right arm medium fast,Charl Langeveldt 
809,Cheteshwar Pujara,RCB,2011,Batsman,23y 87d,Right,Legbreak,1,Age: 23y 87d,Batting: Right hand bat,Bowling: Legbreak,Cheteshwar Pujara 
810,Chidhambaram Gautam,RCB,2011,Wicketkeeper Batsman,25y 45d,Right,,1,Age: 25y 45d,Batting: Right hand bat,,Chidhambaram Gautam 
811,Chris Gayle,RCB,2011,All-Rounder,31y 213d,Left,Right arm offbreak,1,Age: 31y 213d,Batting: Left hand bat,Bowling: Right arm offbreak,Chris Gayle 
812,Daniel Vettori (c),RCB,2011,All-Rounder,32y 85d,Left,Slow left arm orthodox,1,Age: 32y 85d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Daniel Vettori (c)
813,Dirk Nannes,RCB,2011,Bowler,34y 341d,Right,Left arm fast,1,Age: 34y 341d,Batting: Right hand bat,Bowling: Left arm fast,Dirk Nannes 
814,Johan van der Wath,RCB,2011,All-Rounder,33y 102d,Right,Right arm medium fast,1,Age: 33y 102d,Batting: Right hand bat,Bowling: Right arm medium fast,Johan van der Wath 
815,Jonathan Vandiar,RCB,2011,Batsman,20y 362d,Left,Legbreak,1,Age: 20y 362d,Batting: Left hand bat,Bowling: Legbreak,Jonathan Vandiar 
816,Luke Pomersbach,RCB,2011,Batsman,26y 206d,Left,Right arm offbreak,1,Age: 26y 206d,Batting: Left hand bat,Bowling: Right arm offbreak,Luke Pomersbach 
817,Mayank Agarwal,RCB,2011,Batsman,20y 65d,Right,Right arm offbreak,1,Age: 20y 65d,Batting: Right hand bat,Bowling: Right arm offbreak,Mayank Agarwal 
818,Mohammad Kaif,RCB,2011,Batsman,30y 142d,Right,Right arm offbreak,1,Age: 30y 142d,Batting: Right hand bat,Bowling: Right arm offbreak,Mohammad Kaif 
819,Nuwan Pradeep,RCB,2011,Bowler,24y 185d,Right,Right arm medium fast,1,Age: 24y 185d,Batting: Right hand bat,Bowling: Right arm medium fast,Nuwan Pradeep 
820,Raju Bhatkal,RCB,2011,All-Rounder,25y 233d,Right,Right arm medium,1,Age: 25y 233d,Batting: Right hand bat,Bowling: Right arm medium,Raju Bhatkal 
821,Rilee Rossouw,RCB,2011,Batsman,21y 195d,Left,Right arm offbreak,1,Age: 21y 195d,Batting: Left hand bat,Bowling: Right arm offbreak,Rilee Rossouw 
822,Ryan Ninan,RCB,2011,All-Rounder,25y 154d,Right,Right arm offbreak,1,Age: 25y 154d,Batting: Right hand bat,Bowling: Right arm offbreak,Ryan Ninan 
823,Saurabh Tiwary,RCB,2011,Batsman,21y 113d,Left,,1,Age: 21y 113d,Batting: Left hand bat,,Saurabh Tiwary 
824,Sreenath Aravind,RCB,2011,Bowler,27y 14d,Left,Left arm medium fast,1,Age: 27y 14d,Batting: Left hand bat,Bowling: Left arm medium fast,Sreenath Aravind 
825,Syed Mohammad,RCB,2011,Bowler,27y 323d,Left,Slow left arm orthodox,1,Age: 27y 323d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Syed Mohammad 
826,Tillakaratne Dilshan,RCB,2011,All-Rounder,34y 190d,Right,Right arm offbreak,1,Age: 34y 190d,Batting: Right hand bat,Bowling: Right arm offbreak,Tillakaratne Dilshan 
827,Virat Kohli,RCB,2011,Batsman,22y 168d,Right,Right arm medium,1,Age: 22y 168d,Batting: Right hand bat,Bowling: Right arm medium,Virat Kohli 
828,Zaheer Khan,RCB,2011,Bowler,32y 196d,Right,Left arm medium fast,1,Age: 32y 196d,Batting: Right hand bat,Bowling: Left arm medium fast,Zaheer Khan 
829,Abhishek Jhunjhunwala,RPS,2011,Batsman,28y 152d,Right,Right arm offbreak,1,Age: 28y 152d,Batting: Right hand bat,Bowling: Right arm offbreak,Abhishek Jhunjhunwala 
830,Alfonso Thomas,RPS,2011,Bowler,34y 82d,Right,Right arm medium fast,1,Age: 34y 82d,Batting: Right hand bat,Bowling: Right arm medium fast,Alfonso Thomas 
831,Angelo Mathews,RPS,2011,All-Rounder,23y 334d,Right,Right arm medium,1,Age: 23y 334d,Batting: Right hand bat,Bowling: Right arm medium,Angelo Mathews 
832,Ashish Nehra,RPS,2011,Bowler,32y 3d,Right,Left arm medium fast,1,Age: 32y 3d,Batting: Right hand bat,Bowling: Left arm medium fast,Ashish Nehra 
833,Bhuvneshwar Kumar,RPS,2011,Bowler,21y 86d,Right,Right arm medium,1,Age: 21y 86d,Batting: Right hand bat,Bowling: Right arm medium,Bhuvneshwar Kumar 
834,Callum Ferguson,RPS,2011,Batsman,26y 162d,Right,Right arm medium,1,Age: 26y 162d,Batting: Right hand bat,Bowling: Right arm medium,Callum Ferguson 
835,Dheeraj Jadhav,RPS,2011,Batsman,31y 228d,Left,Right arm offbreak,1,Age: 31y 228d,Batting: Left hand bat,Bowling: Right arm offbreak,Dheeraj Jadhav 
836,Eklavya Dwivedi,RPS,2011,Wicketkeeper Batsman,22y 284d,Right,,1,Age: 22y 284d,Batting: Right hand bat,,Eklavya Dwivedi 
837,Ganesh Gaikwad,RPS,2011,Bowler,23y 149d,Right,Right arm offbreak,1,Age: 23y 149d,Batting: Right hand bat,Bowling: Right arm offbreak,Ganesh Gaikwad 
838,Graeme Smith,RPS,2011,Batsman,30y 90d,Left,Right arm offbreak,1,Age: 30y 90d,Batting: Left hand bat,Bowling: Right arm offbreak,Graeme Smith 
839,Harpreet Singh,RPS,2011,Batsman,19y 264d,Left,Right arm medium,1,Age: 19y 264d,Batting: Left hand bat,Bowling: Right arm medium,Harpreet Singh 
840,Harshad Khadiwale,RPS,2011,Batsman,22y 193d,Right,Right arm medium fast,1,Age: 22y 193d,Batting: Right hand bat,Bowling: Right arm medium fast,Harshad Khadiwale 
841,Imtiaz Ahmed,RPS,2011,Bowler,25y 173d,Right,Right arm medium,1,Age: 25y 173d,Batting: Right hand bat,Bowling: Right arm medium,Imtiaz Ahmed 
842,James Faulkner,RPS,2011,All-Rounder,21y 3d,Right,Left arm medium fast,1,Age: 21y 3d,Batting: Right hand bat,Bowling: Left arm medium fast,James Faulkner 
843,Jerome Taylor,RPS,2011,Bowler,26y 314d,Right,Right arm fast,1,Age: 26y 314d,Batting: Right hand bat,Bowling: Right arm fast,Jerome Taylor 
844,Jesse Ryder,RPS,2011,All-Rounder,26y 269d,Left,Right arm medium,1,Age: 26y 269d,Batting: Left hand bat,Bowling: Right arm medium,Jesse Ryder 
845,Kamran Khan,RPS,2011,Bowler,20y 53d,Left,Left arm medium fast,1,Age: 20y 53d,Batting: Left hand bat,Bowling: Left arm medium fast,Kamran Khan 
846,Manish Pandey,RPS,2011,Batsman,21y 234d,Right,Right arm medium,1,Age: 21y 234d,Batting: Right hand bat,Bowling: Right arm medium,Manish Pandey 
847,Mitchell Marsh,RPS,2011,All-Rounder,19y 194d,Right,Right arm medium,1,Age: 19y 194d,Batting: Right hand bat,Bowling: Right arm medium,Mitchell Marsh 
848,Mithun Manhas,RPS,2011,All-Rounder,31y 202d,Right,Right arm offbreak,1,Age: 31y 202d,Batting: Right hand bat,Bowling: Right arm offbreak,Mithun Manhas 
849,Mohnish Mishra,RPS,2011,Batsman,27y 82d,Right,Right arm offbreak,1,Age: 27y 82d,Batting: Right hand bat,Bowling: Right arm offbreak,Mohnish Mishra 
850,Murali Kartik,RPS,2011,Bowler,34y 233d,Left,Slow left arm orthodox,1,Age: 34y 233d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Murali Kartik 
851,Nathan McCullum,RPS,2011,Bowler,30y 243d,Right,Right arm offbreak,1,Age: 30y 243d,Batting: Right hand bat,Bowling: Right arm offbreak,Nathan McCullum 
852,Rahul Sharma,RPS,2011,Bowler,24y 153d,Right,Legbreak googly,1,Age: 24y 153d,Batting: Right hand bat,Bowling: Legbreak googly,Rahul Sharma 
853,Robin Uthappa,RPS,2011,Batsman,25y 172d,Right,Right arm medium,1,Age: 25y 172d,Batting: Right hand bat,Bowling: Right arm medium,Robin Uthappa 
854,Sachin Rana,RPS,2011,Bowler,26y 226d,Right,Right arm medium fast,1,Age: 26y 226d,Batting: Right hand bat,Bowling: Right arm medium fast,Sachin Rana 
855,Shrikant Mundhe,RPS,2011,All-Rounder,22y 187d,Right,Right arm medium,1,Age: 22y 187d,Batting: Right hand bat,Bowling: Right arm medium,Shrikant Mundhe 
856,Shrikant Wagh,RPS,2011,All-Rounder,22y 205d,Left,Left arm medium fast,1,Age: 22y 205d,Batting: Left hand bat,Bowling: Left arm medium fast,Shrikant Wagh 
857,Sourav Ganguly,RPS,2011,Batsman,38y 298d,Left,Right arm medium,1,Age: 38y 298d,Batting: Left hand bat,Bowling: Right arm medium,Sourav Ganguly (vc)
858,Tim Paine,RPS,2011,Wicketkeeper Batsman,26y 145d,Right,Right arm medium,1,Age: 26y 145d,Batting: Right hand bat,Bowling: Right arm medium,Tim Paine 
859,Wayne Parnell,RPS,2011,Bowler,21y 276d,Left,Left arm medium fast,1,Age: 21y 276d,Batting: Left hand bat,Bowling: Left arm medium fast,Wayne Parnell 
860,Yuvraj Singh (c),RPS,2011,Batsman,29y 141d,Left,Slow left arm orthodox,1,Age: 29y 141d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Yuvraj Singh (c)
861,Aakash Chopra,RR,2011,Batsman,33y 199d,Right,Right arm medium/ Right arm offbreak,1,Age: 33y 199d,Batting: Right hand bat,Bowling: Right arm medium/ Right arm offbreak,Aakash Chopra 
862,Abhishek Raut,RR,2011,All-Rounder,24y 34d,Right,Legbreak googly,1,Age: 24y 34d,Batting: Right hand bat,Bowling: Legbreak googly,Abhishek Raut 
863,Aditya Dole,RR,2011,Bowler,23y 179d,Right,Right arm medium fast,1,Age: 23y 179d,Batting: Right hand bat,Bowling: Right arm medium fast,Aditya Dole 
864,Ajinkya Rahane,RR,2011,Batsman,22y 304d,Right,Right arm medium,1,Age: 22y 304d,Batting: Right hand bat,Bowling: Right arm medium,Ajinkya Rahane 
865,Amit Paunikar,RR,2011,Wicketkeeper Batsman,22y 353d,Right,,1,Age: 22y 353d,Batting: Right hand bat,,Amit Paunikar 
866,Amit Singh,RR,2011,Bowler,29y 289d,Right,Right arm medium fast,1,Age: 29y 289d,Batting: Right hand bat,Bowling: Right arm medium fast,Amit Singh 
867,Ankeet Chavan,RR,2011,Batsman,25y 160d,Left,Slow left arm orthodox,1,Age: 25y 160d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Ankeet Chavan 
868,Ashok Menaria,RR,2011,All-Rounder,20y 159d,Left,Slow left arm orthodox,1,Age: 20y 159d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Ashok Menaria 
869,Deepak Chahar,RR,2011,Bowler,18y 242d,Right,Right arm medium,1,Age: 18y 242d,Batting: Right hand bat,Bowling: Right arm medium,Deepak Chahar 
870,Dinesh Salunkhe,RR,2011,Bowler,28y 145d,Right,Legbreak,1,Age: 28y 145d,Batting: Right hand bat,Bowling: Legbreak,Dinesh Salunkhe 
871,Dishant Yagnik,RR,2011,Wicketkeeper Batsman,27y 288d,Left,,1,Age: 27y 288d,Batting: Left hand bat,,Dishant Yagnik 
872,Faiz Fazal,RR,2011,Batsman,25y 211d,Left,Right arm medium,1,Age: 25y 211d,Batting: Left hand bat,Bowling: Right arm medium,Faiz Fazal 
873,Jacob Oram,RR,2011,All-Rounder,32y 252d,Left,Right arm medium fast,1,Age: 32y 252d,Batting: Left hand bat,Bowling: Right arm medium fast,Jacob Oram 
874,Johan Botha,RR,2011,All-Rounder,28y 339d,Right,Right arm offbreak,1,Age: 28y 339d,Batting: Right hand bat,Bowling: Right arm offbreak,Johan Botha 
875,Nayan Doshi,RR,2011,Bowler,32y 182d,Right,Slow left arm orthodox,1,Age: 32y 182d,Batting: Right hand bat,Bowling: Slow left arm orthodox,Nayan Doshi 
876,Pankaj Singh,RR,2011,Bowler,25y 335d,Right,Right arm medium fast,1,Age: 25y 335d,Batting: Right hand bat,Bowling: Right arm medium fast,Pankaj Singh 
877,Paul Collingwood,RR,2011,All-Rounder,34y 315d,Right,Right arm medium,1,Age: 34y 315d,Batting: Right hand bat,Bowling: Right arm medium,Paul Collingwood 
878,Pinal Shah,RR,2011,Wicketkeeper Batsman,23y 154d,Right,,1,Age: 23y 154d,Batting: Right hand bat,,Pinal Shah 
879,Rahul Dravid,RR,2011,Batsman,38y 85d,Right,Right arm offbreak,1,Age: 38y 85d,Batting: Right hand bat,Bowling: Right arm offbreak,Rahul Dravid 
880,Ross Taylor,RR,2011,Batsman,27y 29d,Right,Right arm offbreak,1,Age: 27y 29d,Batting: Right hand bat,Bowling: Right arm offbreak,Ross Taylor 
881,Samad Fallah,RR,2011,Bowler,25y 339d,Left,Left arm medium,1,Age: 25y 339d,Batting: Left hand bat,Bowling: Left arm medium,Samad Fallah 
882,Shane Warne (c),RR,2011,Bowler,41y 205d,Right,Legbreak googly,1,Age: 41y 205d,Batting: Right hand bat,Bowling: Legbreak googly,Shane Warne (c)
883,Shane Watson,RR,2011,All-Rounder,29y 293d,Right,Right arm medium fast,1,Age: 29y 293d,Batting: Right hand bat,Bowling: Right arm medium fast,Shane Watson 
884,Shaun Tait,RR,2011,Bowler,28y 43d,Right,Right arm fast,1,Age: 28y 43d,Batting: Right hand bat,Bowling: Right arm fast,Shaun Tait 
885,Siddharth Trivedi,RR,2011,Bowler,28y 214d,Right,Right arm medium,1,Age: 28y 214d,Batting: Right hand bat,Bowling: Right arm medium,Siddharth Trivedi 
886,Stuart Binny,RR,2011,All-Rounder,26y 307d,Right,Right arm medium,1,Age: 26y 307d,Batting: Right hand bat,Bowling: Right arm medium,Stuart Binny 
887,Sumit Narwal,RR,2011,All-Rounder,28y 355d,Left,Right arm medium,1,Age: 28y 355d,Batting: Left hand bat,Bowling: Right arm medium,Sumit Narwal 
888,Swapnil Asnodkar,RR,2011,Batsman,27y 8d,Right,Right arm offbreak,1,Age: 27y 8d,Batting: Right hand bat,Bowling: Right arm offbreak,Swapnil Asnodkar 
889,Akash Bhandari,SRH,2011,Bowler,17y 221d,Right,Legbreak,1,Age: 17y 221d,Batting: Right hand bat,Bowling: Legbreak,Akash Bhandari 
890,Amit Mishra,SRH,2011,Bowler,28y 54d,Right,Legbreak,1,Age: 28y 54d,Batting: Right hand bat,Bowling: Legbreak,Amit Mishra 
891,Anand Rajan,SRH,2011,Bowler,23y 275d,Right,Right arm medium,1,Age: 23y 275d,Batting: Right hand bat,Bowling: Right arm medium,Anand Rajan 
892,Ankit Sharma,SRH,2011,Bowler,19y 272d,Left,Slow left arm orthodox,1,Age: 19y 272d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Ankit Sharma 
893,Arjun Yadav,SRH,2011,Batsman,29y 25d,Right,Right arm offbreak,1,Age: 29y 25d,Batting: Right hand bat,Bowling: Right arm offbreak,Arjun Yadav 
894,Ashish Reddy,SRH,2011,All-Rounder,19y 327d,Right,Right arm medium,1,Age: 19y 327d,Batting: Right hand bat,Bowling: Right arm medium,Ashish Reddy 
895,Bharat Chipli,SRH,2011,Batsman,27y 355d,Right,Right arm medium,1,Age: 27y 355d,Batting: Right hand bat,Bowling: Right arm medium,Bharat Chipli 
896,Cameron White,SRH,2011,Batsman,27y 152d,Right,Legbreak googly,1,Age: 27y 152d,Batting: Right hand bat,Bowling: Legbreak googly,Cameron White 
897,Chris Lynn,SRH,2011,Batsman,20y 282d,Right,Slow left arm orthodox,1,Age: 20y 282d,Batting: Right hand bat,Bowling: Slow left arm orthodox,Chris Lynn 
898,Dale Steyn,SRH,2011,Bowler,27y 204d,Right,Right arm fast,1,Age: 27y 204d,Batting: Right hand bat,Bowling: Right arm fast,Dale Steyn 
899,Dan Christian,SRH,2011,All-Rounder,27y 258d,Right,Right arm medium fast,1,Age: 27y 258d,Batting: Right hand bat,Bowling: Right arm medium fast,Dan Christian 
900,Dwaraka Ravi Teja,SRH,2011,Batsman,23y 134d,Right,Legbreak googly,1,Age: 23y 134d,Batting: Right hand bat,Bowling: Legbreak googly,Dwaraka Ravi Teja 
901,Harmeet Singh,SRH,2011,Bowler,23y 100d,Right,Right arm medium,1,Age: 23y 100d,Batting: Right hand bat,Bowling: Right arm medium,Harmeet Singh 
902,Ishan Malhotra,SRH,2011,Bowler,26y 239d,Right,Right arm medium fast,1,Age: 26y 239d,Batting: Right hand bat,Bowling: Right arm medium fast,Ishan Malhotra 
903,Ishank Jaggi,SRH,2011,Batsman,21y 355d,Right,Legbreak googly,1,Age: 21y 355d,Batting: Right hand bat,Bowling: Legbreak googly,Ishank Jaggi 
904,Ishant Sharma,SRH,2011,Bowler,22y 137d,Right,Right arm medium fast,1,Age: 22y 137d,Batting: Right hand bat,Bowling: Right arm medium fast,Ishant Sharma 
905,Jaydev Shah,SRH,2011,Batsman,27y 258d,Left,Right arm offbreak,1,Age: 27y 258d,Batting: Left hand bat,Bowling: Right arm offbreak,Jaydev Shah 
906,Jean-Paul Duminy,SRH,2011,All-Rounder,26y 278d,Left,Right arm offbreak,1,Age: 26y 278d,Batting: Left hand bat,Bowling: Right arm offbreak,Jean-Paul Duminy 
907,Juan Theron,SRH,2011,Bowler,25y 177d,Right,Right arm medium fast,1,Age: 25y 177d,Batting: Right hand bat,Bowling: Right arm medium fast,Juan Theron 
908,Kedar Devdhar,SRH,2011,Wicketkeeper Batsman,21y 34d,Right,,1,Age: 21y 34d,Batting: Right hand bat,,Kedar Devdhar 
909,Kevin Pietersen,SRH,2011,Batsman,30y 204d,Right,Right arm offbreak,1,Age: 30y 204d,Batting: Right hand bat,Bowling: Right arm offbreak,Kevin Pietersen 
910,Kumar Sangakkara (c),SRH,2011,Wicketkeeper Batsman,33y 82d,Left,Right arm offbreak,1,Age: 33y 82d,Batting: Left hand bat,Bowling: Right arm offbreak,Kumar Sangakkara  (c)
911,Manpreet Gony,SRH,2011,Bowler,27y 13d,Right,Right arm medium,1,Age: 27y 13d,Batting: Right hand bat,Bowling: Right arm medium,Manpreet Gony 
912,Michael Lumb,SRH,2011,Batsman,30y 339d,Left,Right arm medium,1,Age: 30y 339d,Batting: Left hand bat,Bowling: Right arm medium,Michael Lumb 
913,Pragyan Ojha,SRH,2011,Bowler,24y 134d,Left,Slow left arm orthodox,1,Age: 24y 134d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Pragyan Ojha 
914,Shikhar Dhawan,SRH,2011,Batsman,25y 43d,Left,Right arm offbreak,1,Age: 25y 43d,Batting: Left hand bat,Bowling: Right arm offbreak,Shikhar Dhawan 
915,Sunny Sohal,SRH,2011,Batsman,23y 68d,Right,Legbreak,1,Age: 23y 68d,Batting: Right hand bat,Bowling: Legbreak,Sunny Sohal 
916,Abhinav Mukund,CSK,2012,Batsman,22y 59d,Left,Legbreak googly,1,Age: 22y 59d,Batting: Left hand bat,Bowling: Legbreak googly,Abhinav Mukund 
917,Albie Morkel,CSK,2012,All-Rounder,30y 269d,Left,Right arm medium fast,1,Age: 30y 269d,Batting: Left hand bat,Bowling: Right arm medium fast,Albie Morkel 
918,Ben Hilfenhaus,CSK,2012,Bowler,28y 356d,Right,Right arm medium fast,1,Age: 28y 356d,Batting: Right hand bat,Bowling: Right arm medium fast,Ben Hilfenhaus 
919,Doug Bollinger,CSK,2012,Bowler,30y 225d,Left,Left arm medium fast,1,Age: 30y 225d,Batting: Left hand bat,Bowling: Left arm medium fast,Doug Bollinger 
920,Dwayne Bravo,CSK,2012,All-Rounder,28y 150d,Right,Right arm medium,1,Age: 28y 150d,Batting: Right hand bat,Bowling: Right arm medium,Dwayne Bravo 
921,Faf du Plessis,CSK,2012,Batsman,27y 236d,Right,Legbreak,1,Age: 27y 236d,Batting: Right hand bat,Bowling: Legbreak,Faf du Plessis 
922,Ganapathi Vignesh,CSK,2012,All-Rounder,30y 176d,Right,Right arm medium fast,1,Age: 30y 176d,Batting: Right hand bat,Bowling: Right arm medium fast,Ganapathi Vignesh 
923,George Bailey,CSK,2012,Batsman,29y 180d,Right,Right arm medium,1,Age: 29y 180d,Batting: Right hand bat,Bowling: Right arm medium,George Bailey 
924,Joginder Sharma,CSK,2012,All-Rounder,28y 134d,Right,Right arm medium fast,1,Age: 28y 134d,Batting: Right hand bat,Bowling: Right arm medium fast,Joginder Sharma 
925,Kuthethurshri Vasudevadas,CSK,2012,Batsman,27y 39d,Left,Legbreak,1,Age: 27y 39d,Batting: Left hand bat,Bowling: Legbreak,Kuthethurshri Vasudevadas 
926,Michael Hussey,CSK,2012,Batsman,36y 283d,Left,Right arm medium,1,Age: 36y 283d,Batting: Left hand bat,Bowling: Right arm medium,Michael Hussey 
927,MS Dhoni (c),CSK,2012,Wicketkeeper Batsman,30y 242d,Right,Right arm medium,1,Age: 30y 242d,Batting: Right hand bat,Bowling: Right arm medium,MS Dhoni  (c)
928,Murali Vijay,CSK,2012,Batsman,27y 339d,Right,Right arm offbreak,1,Age: 27y 339d,Batting: Right hand bat,Bowling: Right arm offbreak,Murali Vijay 
929,Nuwan Kulasekara,CSK,2012,Bowler,29y 227d,Right,Right arm medium fast,1,Age: 29y 227d,Batting: Right hand bat,Bowling: Right arm medium fast,Nuwan Kulasekara 
930,Ravichandran Ashwin,CSK,2012,All-Rounder,25y 170d,Right,Right arm offbreak,1,Age: 25y 170d,Batting: Right hand bat,Bowling: Right arm offbreak,Ravichandran Ashwin 
931,Ravindra Jadeja,CSK,2012,All-Rounder,23y 90d,Left,Slow left arm orthodox,1,Age: 23y 90d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Ravindra Jadeja 
932,S Badrinath,CSK,2012,Batsman,31y 188d,Right,Right arm offbreak,1,Age: 31y 188d,Batting: Right hand bat,Bowling: Right arm offbreak,S Badrinath 
933,Scott Styris,CSK,2012,All-Rounder,36y 239d,Right,Right arm medium,1,Age: 36y 239d,Batting: Right hand bat,Bowling: Right arm medium,Scott Styris 
934,Shadab Jakati,CSK,2012,Bowler,31y 99d,Left,Slow left arm orthodox,1,Age: 31y 99d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Shadab Jakati 
935,Srikkanth Anirudha,CSK,2012,Batsman,24y 326d,Right,,1,Age: 24y 326d,Batting: Right hand bat,,Srikkanth Anirudha 
936,Sudeep Tyagi,CSK,2012,Bowler,24y 170d,Right,Right arm medium,1,Age: 24y 170d,Batting: Right hand bat,Bowling: Right arm medium,Sudeep Tyagi 
937,Suraj Randiv,CSK,2012,Bowler,27y 35d,Right,Right arm offbreak,1,Age: 27y 35d,Batting: Right hand bat,Bowling: Right arm offbreak,Suraj Randiv 
938,Suresh Raina,CSK,2012,Batsman,25y 99d,Left,Right arm offbreak,1,Age: 25y 99d,Batting: Left hand bat,Bowling: Right arm offbreak,Suresh Raina 
939,Wriddhiman Saha,CSK,2012,Wicketkeeper Batsman,27y 133d,Right,,1,Age: 27y 133d,Batting: Right hand bat,,Wriddhiman Saha 
940,Yo Mahesh,CSK,2012,All-Rounder,24y 75d,Right,Right arm medium fast,1,Age: 24y 75d,Batting: Right hand bat,Bowling: Right arm medium fast,Yo Mahesh 
941,Aaron Finch,DC,2012,Batsman,25y 123d,Right,Slow left arm orthodox,1,Age: 25y 123d,Batting: Right hand bat,Bowling: Slow left arm orthodox,Aaron Finch 
